Gender,Clothing,Item Name,Min Character Lvl,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus
M,COAT,Enhanced White Hosh Rak Jacket,16,MeleeDamageResistance ,10,ConcentrationBonus ,1,RootDurationBonus ,1,ToolCrafting ,1,ThrowResistance ,10,ViralResistance ,10
M,COAT,Enhanced Purple Hosh Marok Jacket,8,RangedDamageResistance ,5,HealDamageBonus ,1,ThrowResistance ,5,ViralResistance ,5,,,,
M,COAT,Enhanced Magenta Hosh Marok Jacket,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,ThrownResistanceBonus ,1,MaxHealthBonus ,1,ThrowResistance ,5,,
M,COAT,Enhanced Purple Hosh Rak Jacket,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeDamageBonus ,1,ThrowResistance ,5,,,,
M,COAT,Enhanced Brown Avero Suit Coat,24,MeleeDamageResistance ,16,BallisticResistanceBonus ,1,MeleeDamageBonus ,1,BallisticDamageBonus ,1,ThrowResistance ,16,ViralResistance ,16
M,COAT,Enhanced Eggplant Avero Suit Coat,13,RangedDamageResistance ,8,MeleeDamageResistance ,8,RepairSkill ,1,ViralResistance ,8,,,,
M,COAT,Enhanced Green Avero Suit Coat,8,RangedDamageResistance ,5,ViralResistanceBonus ,1,MeleeResistanceBonus ,1,ThrowResistance ,5,ViralResistance ,5,,
M,COAT,Enhanced Light Green Avero Suit Coat,8,MeleeDamageResistance ,5,MovementSpeedBonus ,1,ViralResistance ,5,ThrowResistance ,5,,,,
M,COAT,Enhanced Dark Red Misene Fauxskin Coat,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BuffAreaRadiusBonus ,1,BallisticDefenseBonus ,1,ThrowResistance ,5,,
M,COAT,Enhanced Aquamarine Misene Fauxskin Coat,45,RangedDamageResistance ,30,BuffAreaRadiusBonus ,1,DeterminationBonus ,2,ViralResistance ,30,ThrowResistance ,30,MaxInnerstrengthBonus ,2
M,COAT,Enhanced Dark Plum Misene Fauxskin Coat,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,ThrowResistance ,2,ViralDamageBonus ,1,,,,
M,COAT,Enhanced Dim Orange Misene Fauxskin Coat,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,RepairSkill ,1,HealDamageBonus ,1,ThrowResistance ,5,,
M,COAT,Enhanced Yellow-Orange Hosh Marok Jacket,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,DeterminationBonus ,1,ThrowResistance ,2,,,,
M,COAT,Enhanced Yellow Hosh Marok Jacket,24,RangedDamageResistance ,16,MeleeDamageResistance ,16,ViralResistanceBonus ,1,ConcentrationBonus ,1,ViralResistance ,16,,
M,COAT,Enhanced Amber Hosh Makok Duotone Jacket,5,RangedDamageResistance ,3,ViralAccuracyBonus ,1,ViralResistance ,3,ThrowResistance ,3,,,,
M,COAT,Enhanced Purple Hosh Makok Duotone Jacket,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,PowerlessDurationBonus ,1,ViralResistance ,1,,
M,COAT,Enhanced Red Hosh Makok Duotone Jacket,30,RangedDamageResistance ,20,InvisMovementSpeedBonus ,2,MeleeDamageResistance ,20,MeleeAccuracyBonus ,1,ThrowResistance ,20
M,COAT,Enhanced Green Hosh Makok Duotone Jacket,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeDamageBonus ,1,ViralResistance ,5,ViralDamageBonus ,1
M,COAT,Enhanced Red Hosh Rak Jacket,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,BallisticDamageBonus ,1,ThrowResistance ,1,,
M,COAT,Enhanced Green Hosh Rak Jacket,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeResistanceBonus ,1,BallisticResistanceBonus ,1,ThrowResistance ,5
M,COAT,Enhanced White Hosh Rak Duotone Jacket,30,MeleeDamageResistance ,20,MeleeResistanceBonus ,2,ViralResistance ,20,ThrowResistance ,20,,
M,COAT,Enhanced Yellow Hosh Rak Duotone Jacket,8,SweepBonus ,1,MeleeDamageResistance ,5,BallisticDefenseBonus ,1,ThrowResistance ,5,ViralResistance ,5
M,COAT,Enhanced Red Hosh Rak Duotone Jacket,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,ViralResistance ,5,ViralDamageBonus ,1,,
M,COAT,Enhanced Green Hosh Rak Duotone Jacket,24,MeleeDamageResistance ,16,BallisticDamageBonus ,1,ThrowResistance ,16,ViralResistance ,16,ViralDamageBonus ,1
M,COAT,Enhanced Brown Jayne Half-Duster,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,InnerstrengthRegenBonus ,1,ThrowResistance ,1,,
M,COAT,Enhanced Violet Jayne Half-Duster Highcollar,16,RangedDamageResistance ,10,ViralAccuracyBonus ,1,MeleeDamageResistance ,10,ThrowResistance ,10,,
M,COAT,Enhanced Brown Jayne Collarless Half-Duster,30,RangedDamageResistance ,20,ViralAccuracyBonus ,1,MeleeDamageResistance ,20,MeleeResistanceBonus ,2,ViralResistance ,20
M,COAT,Enhanced Gray Avero Suit Coat Highcollar,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticResistanceBonus ,1,ThrownDamageBonus ,1,ThrowResistance ,5
M,COAT,Enhanced Olive Avero Suit Coat Highcollar,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MaxHealthBonus ,1,ViralResistance ,10,,
M,COAT,Enhanced Red Avero Suit Coat Highcollar,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,ViralResistance ,1,MaxInnerstrengthBonus ,1,,
