AbilityID,GOID,AbilityName
0,-2147483648,None
1,-2147482624,AdrenalineBoosterAbility
2,-2147481600,AwakenedAbility
3,-2147480576,None
4,-2147479552,None
5,-2147478528,CalmMindCalmBodyAbility
6,-2147477504,ConsistentTechniqueAbility
7,-2147476480,DetectVulnerabilityAbility
8,-2147475456,EmptyMindAbility
9,-2147474432,EnergizedAttacksAbility
10,-2147473408,HyperDodgeAbility
11,-2147472384,HyperJumpAbility
12,-2147471360,HyperSpeedAbility
13,-2147470336,HyperStrengthAbility
14,-2147469312,PowerShotAbility
15,-2147468288,PreciseBlowAbility
16,-2147467264,PunishingBlowsAbility
17,-2147466240,SelfDefenseAbility
18,-2147465216,CoderAbility
19,-2147464192,Decoy1Ability
20,-2147463168,FortifySimulacra1Ability
21,-2147462144,Lockdown1Ability
22,-2147461120,LogicDaemon1Ability
23,-2147460096,DeflectCodeAbility
24,-2147459072,MinorRepairsAbility
25,-2147458048,PowerBoost1Ability
26,-2147457024,ProxyCoderAbility
27,-2147456000,RemoteProxy1Ability
28,-2147454976,RemoteProxy2Ability
29,-2147453952,RemoteProxy3Ability
30,-2147452928,RepairSimulacra1Ability
31,-2147451904,RepairSimulacra2Ability
32,-2147450880,RunProgramAbility
33,-2147449856,StaticBlast1Ability
34,-2147448832,StopProxy1Ability
35,-2147447808,CodeShaperAbility
36,-2147446784,TinkeringAbility
37,-2147445760,WriteCodeAbility
38,-2147444736,AreaDisruption1Ability
39,-2147443712,BolsterHealth1Ability
40,-2147442688,CodeFreeze1Ability
41,-2147441664,CodeFreeze2Ability
42,-2147440640,CombatAura1Ability
43,-2147439616,DisruptInputs1Ability
44,-2147438592,DownloadMissionMapAbility
45,-2147437568,ExecuteProgramAbility
46,-2147436544,FastHealing1Ability
47,-2147435520,FreezeArea1Ability
48,-2147434496,FreezeSystem1Ability
49,-2147433472,GaussianBlur1Ability
50,-2147432448,GroupRepairs2Ability
51,-2147431424,GuardianHealerAbility
52,-2147430400,HackerAbility
53,-2147429376,HarmfulCodeAbility
54,-2147428352,RestoreHealth4Ability
55,-2147427328,HealerAbility
56,-2147426304,GroupRepairs1Ability
57,-2147425280,LogicBlast1Ability
58,-2147424256,LogicBlast2Ability
59,-2147423232,LogicBlast3Ability
60,-2147422208,LogicBomb1Ability
61,-2147421184,Miasma1Ability
62,-2147420160,MovementAccelerator1Ability
63,-2147419136,NetworkFirewall1Ability
64,-2147418112,NetworkHackerAbility
65,-2147417088,Overheat1Ability
66,-2147416064,Overload1Ability
67,-2147415040,PathogenistAbility
68,-2147414016,PersonalFirewall1Ability
69,-2147412992,ProcessorLag1Ability
70,-2147411968,QuickRecoveryAbility
71,-2147410944,RepairAndUpgradeAbility
72,-2147409920,ResistCombat1Ability
73,-2147408896,ResistContagionAbility
74,-2147407872,ResistDamageAbility
75,-2147406848,ResistInfectionAbility
76,-2147405824,ResistVirusesAbility
77,-2147404800,RestoreHealth1Ability
78,-2147403776,FocusAttributeAbility
79,-2147402752,PerceptionAttributeAbility
80,-2147401728,RestoreHealth2Ability
81,-2147400704,ReasonAttributeAbility
82,-2147399680,BeliefAttributeAbility
83,-2147398656,SelectivePhageAbility
84,-2147397632,VitalityAttributeAbility
85,-2147396608,MezAbility
86,-2147395584,Slow1Ability
87,-2147394560,HasteAbility
88,-2147393536,InnerstrengthSitRegenRateAbility
89,-2147392512,StaticField1Ability
90,-2147391488,BlindAbility
91,-2147390464,ConfuseAbility
92,-2147389440,TeamMedicAbility
93,-2147388416,EnrageAbility
94,-2147387392,ImpairConnectionAbility
95,-2147386368,TransmitVirusAbility
96,-2147385344,PowerlessAbility
97,-2147384320,UILag1Ability
98,-2147383296,ViralAttackerAbility
99,-2147382272,RootedAbility
100,-2147381248,SlowAbility
101,-2147380224,AikidoAbility
102,-2147379200,StunAbility
103,-2147378176,WoundedAbility
104,-2147377152,None
105,-2147376128,BodyShotAbility
